,Yards Gained,3 secs,4 secs,5 secs,6 secs,7 secs,8 secs,9 secs,10 secs,11 secs,12 secs,13 secs,14 secs,15 secs,16 secs,17 secs,18 secs,19 secs,20 secs,21 secs,22 secs
10,44.0,0.0036933965068160148,0.008973726179721522,0.023767319465709945,0.05190775650283371,0.09348654797943712,0.13885013163601811,0.17007260176151184,0.17179826705966283,0.14311983894250646,0.09832695768051036,0.05570921197263212,0.02602843673758204,0.010028041876081417,0.0031857167397637554,0.0008344362691841134,0.0001801949879530751,3.207903167179449e-05,4.707515412705199e-06,5.693969171716162e-07,0.9999999382419261
11,46.0,0.004191302914676311,0.009562552909642565,0.02442554102293536,0.05191167709452727,0.09180225060364705,0.13508962912650035,0.16541696375035292,0.1685513226715426,0.14291532747801172,0.10083611840292095,0.05920194919687616,0.02892186356558346,0.01175630423514018,0.003976032006206887,0.0011187687149575298,0.0002618882363941699,5.0997407026853736e-05,8.260484826050352e-06,1.1128979582331056e-06,0.9999998627197266
12,54.0,0.0005249801104569617,0.002374580336182861,0.00961116384116165,0.029914166349433856,0.07160783871022068,0.13185112103280544,0.18676165756738522,0.2035148620950452,0.17061413379910695,0.11003533256188858,0.05459057626822239,0.020831708799200488,0.006113527669342256,0.0013795686920439199,0.00023932756623612494,3.1911312355248356e-05,3.2696195106929338e-06,2.5736185560454317e-07,1.5558839217000298e-08,0.9999999992512933
13,47.0,0.003487769080397309,0.008233952914743804,0.021586757566027605,0.047094001566213524,0.08549885297099707,0.1291769565835313,0.16242369715447758,0.16996466861487414,0.14801778104523433,0.10727829840088132,0.06470608860658489,0.032478960726164074,0.013566483523584139,0.004715431586385543,0.0013637726972997033,0.00032817330487577845,6.570173611686325e-05,1.0942890852683185e-05,1.5161293890342264e-06,0.9999998070986307
14,45.0,0.004974546186535034,0.010110627367654694,0.024280082276707665,0.04940717347897078,0.08519405917979544,0.1244850327827084,0.15414160849073993,0.16174139707655155,0.14382085612209372,0.10837270748896954,0.06920071053618038,0.03744434420285281,0.01716867509044162,0.006670364098471548,0.0021958844528544574,0.0006124905987880958,0.00014474388356233714,2.897950539448857e-05,4.915291214158124e-06,0.9999991981104867
15,53.0,0.007262137284458197,0.012056735962132506,0.026002225117402893,0.04876333738567886,0.07952152211866725,0.11276886132374847,0.1390626437016642,0.1491250742124952,0.1390626437016642,0.11276886132374841,0.07952152211866736,0.04876333738567884,0.02600222511740291,0.012056735962132414,0.004861201847406016,0.001704290227163674,0.0005195407940958852,0.0001377086185307963,3.173629128483402e-05,0.999992340494023
16,38.0,0.005746835035809857,0.015299104241772252,0.04099045368969088,0.08639336784634943,0.143250653482905,0.1868776889543342,0.19181248255079125,0.1549017129259822,0.09842021122083111,0.0491968813749003,0.019345542286688056,0.005983681027682208,0.001455609078922615,0.00027844940292975906,4.187962001567236e-05,4.951520056972747e-06,4.601235146228788e-07,3.359918510081883e-08,1.927608184182361e-09,0.9999999999099697
17,28.0,0.009778221259045244,0.020367248586234673,0.047285084316258504,0.08947191092477676,0.13798758131262184,0.17345941053148473,0.1777328434016081,0.1484397653405759,0.10105079965673236,0.05606913539752556,0.025356190657013444,0.009345353929435474,0.0028069147689604446,0.0006869888434236637,0.00013699923073695608,2.2258297684540906e-05,2.9459514289120747e-06,3.1759320484603393e-07,2.7885557751794465e-08,0.9999999978843097
18,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,26.0,0.0010472235748400908,0.00344417774705478,0.011329221899110519,0.030162152393385263,0.06499871672216292,0.11338449573199094,0.16011368191924397,0.18303803441331412,0.16939366208470819,0.12690920135085149,0.07696954673985879,0.03778827376507421,0.015016994222509905,0.0048302091260596924,0.001257387516143349,0.00026488104397459633,4.515075713074079e-05,6.2267576440566685e-06,6.946871006219268e-07,0.9999999324521582
20,42.0,0.0028735372893497423,0.00823276916820495,0.023921462372673168,0.055683084209117925,0.10384501280989006,0.15516716445348994,0.18577284731581123,0.17821338589809943,0.136984792255052,0.08436600869329547,0.04162996729645896,0.016457351957494537,0.005211866740290505,0.0013220968297452673,0.00026860921714866315,4.370309542767181e-05,5.693495260583603e-06,5.938269800331852e-07,4.9578302130370844e-08,0.9999999965020923
21,43.0,0.007449097103335406,0.0144631176858554,0.03325542254707747,0.06430846811742114,0.10459030693720844,0.14306770410737168,0.16459807232316337,0.15927352118965032,0.1296275987126182,0.0887324391775699,0.05108472936834019,0.024735061023762328,0.010072435870697172,0.0034493655815975854,0.000993363125932123,0.00024055779891674067,4.898350002857654e-05,8.386363184675893e-06,1.207157530713765e-06,0.9999998376912614
22,51.0,0.0017818336203796743,0.005232017010171024,0.015806505236857716,0.03885643756294485,0.07772817439077545,0.12653318533446323,0.16763193452628827,0.18073600772597076,0.158588145456937,0.11324799802497865,0.06581320741695906,0.031124380186602685,0.01197759869752546,0.003750513711304082,0.0009554965532694304,0.0001980367326048782,3.33885591980998e-05,4.578664055232551e-06,5.106466216542316e-07,0.9999999500579072
23,56.0,0.00690542989968627,0.011975269289188843,0.026373205141296405,0.05018023424284262,0.08249010962335579,0.11715914722699411,0.14376716577632376,0.15242450536513485,0.13962466216963676,0.11050468952262071,0.07556275618567998,0.044641521347201785,0.02278600960754673,0.01004819543509805,0.0038281531305452976,0.0012599737046974369,0.0003582554692601603,8.799750611432344e-05,1.8671535061409728e-05,0.9999959521782853
24,34.0,0.004089104992894091,0.009111101926490074,0.02305353873544691,0.04884548513276705,0.08666554884110839,0.12877025175150725,0.16022851797103765,0.1669644022965271,0.1457030441643845,0.10648076643959015,0.06516658574437573,0.03339795598258577,0.014333173491194118,0.005150810429765618,0.0015498858155044148,0.0003904740983021737,8.236224551261273e-05,1.454388606492163e-05,2.149909663629046e-06,0.9999997038547221
25,58.0,9.952044899369636e-05,0.0006341484832235138,0.0033884149080586814,0.01362220822085045,0.04121438796474487,0.09386183268480988,0.16092989034503646,0.20774870642668475,0.20193716779329718,0.14779781448743456,0.08144534830742278,0.03378781000326114,0.010550582540799436,0.00247926787823316,0.0004383217743164636,5.8286045452882185e-05,5.827850286466152e-06,4.380150493421553e-07,2.473822491300126e-08,0.9999999989161806
26,41.0,0.004702296683724608,0.011289833946050586,0.02930901304965038,0.06221409811993149,0.10798727838945288,0.15327423558664927,0.1779054292238953,0.1688640947330997,0.13107259331626753,0.08319651813385187,0.04318205393016927,0.01832680570109846,0.006359612514185264,0.0018042847056424227,0.00041848099510100045,7.934225991157451e-05,1.2295613887602919e-05,1.5572873319769087e-06,1.6118114209984213e-07,0.9999999853710433
27,52.0,0.003972724232464352,0.009366317993559886,0.02436183998353405,0.052449509589578246,0.09347201123928811,0.13789385000768584,0.16839963924951928,0.17024542365457046,0.14247807686092384,0.09870847024172957,0.05660897855732461,0.026873665436757954,0.010559929385925426,0.0034345151018926323,0.0009245156192001502,0.0002059578191806466,3.7968676668942436e-05,5.791903160301537e-06,7.310200910159992e-07,0.9999999165730553
28,14.0,0.00015910859015753364,0.0005280293477583134,0.001867992392512085,0.005642405594168199,0.014552596023583064,0.03204915975137878,0.060270378522150246,0.09678572836168847,0.13272285980627913,0.15542174161032418,0.15542174161032418,0.13272285980627918,0.09678572836168842,0.060270378522150225,0.032049159751378786,0.014552596023583053,0.005642405594168176,0.001867992392512119,0.0005280293477583076,0.9998408914098424
29,59.0,1.88077776284089e-08,7.89105727784504e-07,2.0667519652106722e-05,0.0003335624243503093,0.0033226258151079556,0.020458241753239365,0.07797372971906935,0.1841733533373191,0.26980934360617875,0.24524695839379196,0.13830092188528387,0.04835906068633267,0.010474727941423567,0.0014036744540109058,0.0001162010234183608,5.933302522520556e-06,1.8657394496024438e-07,3.607696363872037e-09,4.283906562818629e-11,0.9999999999996866
30,64.0,1.5827005692358876e-15,7.066951356183896e-13,1.6788365169636155e-10,2.123570188120445e-08,1.4335981215507425e-06,5.179432850454738e-05,0.0010045539270065857,0.010493893642955545,0.0592377347767398,0.18122850154863038,0.30113473211213126,0.27205993159996733,0.13361129553524576,0.03561732716834998,0.005141041612031327,0.0004005654169986217,1.6791303947050196e-05,3.7745926173560207e-07,4.536638953389627e-09,0.9999999999708242
31,35.0,0.004067456223674797,0.010334065346937323,0.027778926608111,0.06063367869019277,0.1074711776890947,0.15469233862623172,0.18082423648883938,0.17165673335151044,0.13233649738132136,0.08285222246777513,0.04212294053813337,0.01739005203698263,0.005829379594245787,0.0015865327862238932,0.00035054364702080676,6.287215096134613e-05,9.152737830864233e-06,1.0813611092119757e-06,1.0367306912950625e-07,0.9999999913992657
32,32.0,0.0036279390034258535,0.009146193372673124,0.02466950725782821,0.05443121381704333,0.09824853337311074,0.14508156944872685,0.17527433508097556,0.1732407695506416,0.1400900257879487,0.09267939163977312,0.050160919797314296,0.022209353310732927,0.008043975970837058,0.002383095159088411,0.0005774503229389882,0.0001144335655609563,1.8544596697145366e-05,2.457329534522046e-06,2.6622339777127024e-07,0.9999999746082492
33,63.0,0.0008552848212178408,0.0028058774033740703,0.009303363824747637,0.02517242876768313,0.05558444042082288,0.1001724455654543,0.1473426329464409,0.1768910238024457,0.17333496372182655,0.1386337325836451,0.09049966182803204,0.04821775059043809,0.020966672851890134,0.007440286514319161,0.002154552963782197,0.0005090931225993911,9.814562730525722e-05,1.5436046266414927e-05,1.9803754840452825e-06,0.9999997737777748
